23	12	1969
22	1	1970
21	2	1970
23	3	1970
21	4	1970
21	5	1970
19	6	1970
18	7	1970
17	8	1970
15	9	1970
14	10	1970
13	11	1970
12	12	1970
11	1	1971
10	2	1971
12	3	1971
10	4	1971
10	5	1971
9	6	1971
8	7	1971
6	8	1971
5	9	1971
4	10	1971
2	11	1971
2	12	1971
31	12	1971
30	1	1972
29	2	1972
29	3	1972
28	4	1972
28	5	1972
26	6	1972
26	7	1972
24	8	1972
23	9	1972
22	10	1972
21	11	1972
20	12	1972
18	1	1973
17	2	1973
19	3	1973
17	4	1973
17	5	1973
15	6	1973
15	7	1973
14	8	1973
12	9	1973
12	10	1973
10	11	1973
10	12	1973
8	1	1974
7	2	1974
8	3	1974
6	4	1974
6	5	1974
4	6	1974
4	7	1974
3	8	1974
1	9	1974
1	10	1974
31	10	1974
29	11	1974
29	12	1974
27	1	1975
26	2	1975
27	3	1975
25	4	1975
25	5	1975
23	6	1975
23	7	1975
21	8	1975
20	9	1975
20	10	1975
18	11	1975
18	12	1975
17	1	1976
15	2	1976
16	3	1976
14	4	1976
13	5	1976
12	6	1976
11	7	1976
10	8	1976
8	9	1976
8	10	1976
7	11	1976
6	12	1976
5	1	1977
4	2	1977
5	3	1977
4	4	1977
3	5	1977
1	6	1977
1	7	1977
30	7	1977
28	8	1977
27	9	1977
27	10	1977
25	11	1977
25	12	1977
24	1	1978
23	2	1978
24	3	1978
23	4	1978
22	5	1978
20	6	1978
20	7	1978
18	8	1978
16	9	1978
16	10	1978
14	11	1978
14	12	1978
13	1	1979
12	2	1979
13	3	1979
12	4	1979
12	5	1979
10	6	1979
9	7	1979
8	8	1979
6	9	1979
5	10	1979
4	11	1979
3	12	1979
2	1	1980
1	2	1980
1	3	1980
31	3	1980
30	4	1980
29	5	1980
28	6	1980
27	7	1980
26	8	1980
24	9	1980
23	10	1980
22	11	1980
21	12	1980
20	1	1981
18	2	1981
20	3	1981
19	4	1981
19	5	1981
17	6	1981
17	7	1981
15	8	1981
14	9	1981
13	10	1981
11	11	1981
11	12	1981
9	1	1982
8	2	1982
9	3	1982
8	4	1982
8	5	1982
6	6	1982
6	7	1982
5	8	1982
3	9	1982
3	10	1982
1	11	1982
1	12	1982
30	12	1982
28	1	1983
27	2	1983
28	3	1983
27	4	1983
26	5	1983
25	6	1983
25	7	1983
23	8	1983
22	9	1983
21	10	1983
20	11	1983
20	12	1983
18	1	1984
17	2	1984
17	3	1984
15	4	1984
15	5	1984
13	6	1984
13	7	1984
11	8	1984
10	9	1984
10	10	1984
8	11	1984
8	12	1984
7	1	1985
5	2	1985
7	3	1985
5	4	1985
4	5	1985
3	6	1985
2	7	1985
31	7	1985
30	8	1985
29	9	1985
28	10	1985
27	11	1985
27	12	1985
26	1	1986
24	2	1986
26	3	1986
24	4	1986
23	5	1986
22	6	1986
21	7	1986
19	8	1986
18	9	1986
17	10	1986
16	11	1986
16	12	1986
15	1	1987
13	2	1987
15	3	1987
14	4	1987
13	5	1987
11	6	1987
11	7	1987
9	8	1987
7	9	1987
7	10	1987
5	11	1987
5	12	1987
4	1	1988
2	2	1988
3	3	1988
2	4	1988
2	5	1988
31	5	1988
29	6	1988
29	7	1988
27	8	1988
25	9	1988
25	10	1988
